date,usd_per_eur
2023-06-05,1.094549
2023-06-06,1.097522
2023-06-07,1.100251
2023-06-08,1.103401
2023-06-09,1.103634
2023-06-12,1.106708
2023-06-13,1.108986
2023-06-14,1.108682
2023-06-15,1.107228
2023-06-16,1.108131
2023-06-19,1.108131
2023-06-20,1.110142
2023-06-21,1.115957
2023-06-22,1.117349
2023-06-23,1.117395
2023-06-26,1.118072
2023-06-27,1.124222
2023-06-28,1.122804
2023-06-29,1.116879
2023-06-30,1.124901
2023-07-03,1.123095
2023-07-04,1.123325
2023-07-05,1.124475
2023-07-06,1.121622
2023-07-07,1.127374
2023-07-10,1.129495
2023-07-11,1.127487
2023-07-12,1.133489
2023-07-13,1.133206
2023-07-14,1.129205
2023-07-17,1.129437
2023-07-18,1.130968
2023-07-19,1.128741
2023-07-20,1.130519
2023-07-21,1.132266
2023-07-24,1.131128
2023-07-25,1.127462
2023-07-26,1.122601
2023-07-27,1.119896
2023-07-28,1.125043
2023-07-31,1.123143
2023-08-01,1.127173
2023-08-02,1.123433
2023-08-03,1.125639
2023-08-04,1.129447
2023-08-07,1.129910
2023-08-08,1.130793
2023-08-09,1.132104
2023-08-10,1.131990
2023-08-11,1.131405
2023-08-14,1.132287
2023-08-15,1.131715
2023-08-16,1.135556
2023-08-17,1.139867
2023-08-18,1.143174
2023-08-21,1.141857
2023-08-22,1.142356
2023-08-23,1.145103
2023-08-24,1.144738
2023-08-25,1.141935
2023-08-28,1.141911
2023-08-29,1.139344
2023-08-30,1.139620
2023-08-31,1.141281
2023-09-01,1.142132
2023-09-04,1.142141
2023-09-05,1.142106
2023-09-06,1.144825
2023-09-07,1.143633
2023-09-08,1.147394
2023-09-11,1.148427
2023-09-12,1.152086
2023-09-13,1.152041
2023-09-14,1.157166
2023-09-15,1.162835
2023-09-18,1.166717
2023-09-19,1.162326
2023-09-20,1.160763
2023-09-21,1.149547
2023-09-22,1.147014
2023-09-25,1.146174
2023-09-26,1.145385
2023-09-27,1.143471
2023-09-28,1.147023
2023-09-29,1.153672
2023-10-02,1.152865
2023-10-03,1.156010
2023-10-04,1.159974
2023-10-05,1.164313
2023-10-06,1.166590
2023-10-09,1.170177
2023-10-10,1.168647
2023-10-11,1.172402
2023-10-12,1.171684
2023-10-13,1.170166
2023-10-16,1.171293
2023-10-17,1.175404
2023-10-18,1.183498
2023-10-19,1.176963
2023-10-20,1.181894
2023-10-23,1.180770
2023-10-24,1.180886
2023-10-25,1.176290
2023-10-26,1.184365
2023-10-27,1.194302
2023-10-30,1.202191
2023-10-31,1.198994
2023-11-01,1.190790
2023-11-02,1.196741
2023-11-03,1.194752
2023-11-06,1.194718
2023-11-07,1.191061
2023-11-08,1.184457
2023-11-09,1.177266
2023-11-10,1.181101
2023-11-13,1.174244
2023-11-14,1.178032
2023-11-15,1.185480
2023-11-16,1.189851
2023-11-17,1.177077
2023-11-20,1.182861
2023-11-21,1.184797
2023-11-22,1.190547
2023-11-23,1.195478
2023-11-24,1.203774
2023-11-27,1.206967
2023-11-28,1.217216
2023-11-29,1.220642
2023-11-30,1.228673
2023-12-01,1.233808
2023-12-04,1.235538
2023-12-05,1.229333
2023-12-06,1.236516
2023-12-07,1.237327
2023-12-08,1.234618
2023-12-11,1.229562
2023-12-12,1.233880
2023-12-13,1.228422
2023-12-14,1.229476
2023-12-15,1.232175
2023-12-18,1.230457
2023-12-19,1.230073
2023-12-20,1.238459
2023-12-21,1.235930
2023-12-22,1.227965
2023-12-25,1.223928
2023-12-26,1.223565
2023-12-27,1.213187
2023-12-28,1.216964
2023-12-29,1.215763
2024-01-01,1.221952
2024-01-02,1.225521
2024-01-03,1.212829
2024-01-04,1.212390
2024-01-05,1.211358
2024-01-08,1.209767
2024-01-09,1.205868
2024-01-10,1.198497
2024-01-11,1.198151
2024-01-12,1.194929
2024-01-15,1.189621
2024-01-16,1.187094
2024-01-17,1.181627
2024-01-18,1.173852
2024-01-19,1.173214
2024-01-22,1.178403
2024-01-23,1.182888
2024-01-24,1.169404
2024-01-25,1.169870
2024-01-26,1.164630
2024-01-29,1.163204
2024-01-30,1.158009
2024-01-31,1.156688
2024-02-01,1.158660
2024-02-02,1.158388
2024-02-05,1.158027
2024-02-06,1.162326
2024-02-07,1.162475
2024-02-08,1.166265
2024-02-09,1.162209
2024-02-12,1.164038
2024-02-13,1.163470
2024-02-14,1.164449
2024-02-15,1.162416
2024-02-16,1.151564
2024-02-19,1.152904
2024-02-20,1.150870
2024-02-21,1.158458
2024-02-22,1.161613
2024-02-23,1.160045
2024-02-26,1.163927
2024-02-27,1.155885
2024-02-28,1.151044
2024-02-29,1.145878
2024-03-01,1.154732
2024-03-04,1.159820
2024-03-05,1.165331
2024-03-06,1.177348
2024-03-07,1.181723
2024-03-08,1.179623
2024-03-11,1.172419
2024-03-12,1.177039
2024-03-13,1.183195
2024-03-14,1.181998
2024-03-15,1.186945
2024-03-18,1.192550
2024-03-19,1.188498
2024-03-20,1.196410
2024-03-21,1.192243
2024-03-22,1.193543
2024-03-25,1.187501
2024-03-26,1.189012
2024-03-27,1.192517
2024-03-28,1.198278
2024-03-29,1.206293
2024-04-01,1.209960
2024-04-02,1.206966
2024-04-03,1.203562
2024-04-04,1.194265
2024-04-05,1.198606
2024-04-08,1.190063
2024-04-09,1.190257
2024-04-10,1.190118
2024-04-11,1.196043
2024-04-12,1.188869
2024-04-15,1.185626
2024-04-16,1.196594
2024-04-17,1.192413
2024-04-18,1.186760
2024-04-19,1.192152
2024-04-22,1.180005
2024-04-23,1.184459
2024-04-24,1.183199
2024-04-25,1.188819
2024-04-26,1.196616
2024-04-29,1.204859
2024-04-30,1.218054
2024-05-01,1.217582
2024-05-02,1.220640
2024-05-03,1.212018
2024-05-06,1.223823
2024-05-07,1.211219
2024-05-08,1.216856
2024-05-09,1.208053
2024-05-10,1.204600
2024-05-13,1.203198
2024-05-14,1.207082
2024-05-15,1.211780
2024-05-16,1.210906
2024-05-17,1.209804
2024-05-20,1.192708
2024-05-21,1.189971
2024-05-22,1.187787
2024-05-23,1.192102
2024-05-24,1.194907
2024-05-27,1.204479
2024-05-28,1.204486
2024-05-29,1.198552
2024-05-30,1.210952
2024-05-31,1.210788
2024-06-03,1.212334
2024-06-04,1.221867
2024-06-05,1.227028
2024-06-06,1.221451
2024-06-07,1.225930
2024-06-10,1.235980
2024-06-11,1.245900
2024-06-12,1.246469
2024-06-13,1.228474
2024-06-14,1.221194
2024-06-17,1.218479
2024-06-18,1.217403
2024-06-19,1.230483
2024-06-20,1.234756
2024-06-21,1.219180
2024-06-24,1.227350
2024-06-25,1.212325
2024-06-26,1.210222
2024-06-27,1.217499
2024-06-28,1.220657
2024-07-01,1.205547
2024-07-02,1.213894
2024-07-03,1.197856
2024-07-04,1.193870
2024-07-05,1.185938
2024-07-08,1.186795
2024-07-09,1.181112
2024-07-10,1.175198
2024-07-11,1.179390
2024-07-12,1.172707
2024-07-15,1.182954
2024-07-16,1.193676
2024-07-17,1.184688
2024-07-18,1.205373
2024-07-19,1.201963
2024-07-22,1.201477
2024-07-23,1.191512
2024-07-24,1.179188
2024-07-25,1.173774
2024-07-26,1.184694
2024-07-29,1.200258
2024-07-30,1.205738
2024-07-31,1.202395
2024-08-01,1.199704
2024-08-02,1.188597
2024-08-05,1.184761
2024-08-06,1.188817
2024-08-07,1.213902
2024-08-08,1.201281
2024-08-09,1.185973
2024-08-12,1.181947
2024-08-13,1.189994
2024-08-14,1.203164
2024-08-15,1.193542
2024-08-16,1.204286
2024-08-19,1.201056
2024-08-20,1.210314
2024-08-21,1.217990
2024-08-22,1.217020
2024-08-23,1.218045
2024-08-26,1.214798
2024-08-27,1.213740
2024-08-28,1.217942
2024-08-29,1.236614
2024-08-30,1.239955
2024-09-02,1.247548
2024-09-03,1.254083
2024-09-04,1.236738
2024-09-05,1.240406
2024-09-06,1.224829
2024-09-09,1.233177
2024-09-10,1.243705
2024-09-11,1.243833
2024-09-12,1.237138
2024-09-13,1.228024
2024-09-16,1.228696
2024-09-17,1.230433
2024-09-18,1.224567
2024-09-19,1.228856
2024-09-20,1.221136
2024-09-23,1.213305
2024-09-24,1.209166
2024-09-25,1.201680
2024-09-26,1.201952
2024-09-27,1.200811
2024-09-30,1.201613
2024-10-01,1.204682
2024-10-02,1.210660
2024-10-03,1.218184
2024-10-04,1.224599
2024-10-07,1.227670
2024-10-08,1.229945
2024-10-09,1.235210
2024-10-10,1.235767
2024-10-11,1.228298
2024-10-14,1.223175
2024-10-15,1.224498
2024-10-16,1.222900
2024-10-17,1.221601
2024-10-18,1.222301
2024-10-21,1.230239
2024-10-22,1.230626
2024-10-23,1.231738
2024-10-24,1.229918
2024-10-25,1.230055
2024-10-28,1.236336
2024-10-29,1.242132
2024-10-30,1.243135
2024-10-31,1.239640
2024-11-01,1.243398
2024-11-04,1.249035
2024-11-05,1.249655
2024-11-06,1.242164
2024-11-07,1.242327
2024-11-08,1.240792
2024-11-11,1.244214
2024-11-12,1.248275
2024-11-13,1.256850
2024-11-14,1.268017
2024-11-15,1.282973
2024-11-18,1.280112
2024-11-19,1.267356
2024-11-20,1.277158
2024-11-21,1.268399
2024-11-22,1.268582
2024-11-25,1.276980
2024-11-26,1.278027
2024-11-27,1.290055
2024-11-28,1.287722
2024-11-29,1.289953
2024-12-02,1.289156
2024-12-03,1.293227
2024-12-04,1.299060
2024-12-05,1.297567
2024-12-06,1.302480
2024-12-09,1.303256
2024-12-10,1.295176
2024-12-11,1.297157
2024-12-12,1.302150
2024-12-13,1.294218
2024-12-16,1.297429
2024-12-17,1.289556
2024-12-18,1.295589
2024-12-19,1.288692
2024-12-20,1.285449
2024-12-23,1.276124
2024-12-24,1.270071
2024-12-25,1.262739
2024-12-26,1.254695
2024-12-27,1.255092
2024-12-30,1.254625
2024-12-31,1.255335
2025-01-01,1.252609
2025-01-02,1.248620
2025-01-03,1.256833
2025-01-06,1.262722
2025-01-07,1.271442
2025-01-08,1.272963
2025-01-09,1.274019
2025-01-10,1.278795
2025-01-13,1.280717
2025-01-14,1.280665
2025-01-15,1.288030
2025-01-16,1.299793
2025-01-17,1.290083
2025-01-20,1.295159
2025-01-21,1.298774
2025-01-22,1.299480
2025-01-23,1.286628
2025-01-24,1.295789
2025-01-27,1.292539
2025-01-28,1.294143
2025-01-29,1.289419
2025-01-30,1.281361
2025-01-31,1.285839
2025-02-03,1.287789
2025-02-04,1.289080
2025-02-05,1.284375
2025-02-06,1.285156
2025-02-07,1.283434
2025-02-10,1.278102
2025-02-11,1.277081
2025-02-12,1.275221
2025-02-13,1.275967
2025-02-14,1.273550
2025-02-17,1.267370
2025-02-18,1.262690
2025-02-19,1.266234
2025-02-20,1.270746
2025-02-21,1.272455
2025-02-24,1.261150
2025-02-25,1.267287
2025-02-26,1.259799
2025-02-27,1.257329
2025-02-28,1.246897
2025-03-03,1.252093
2025-03-04,1.244169
2025-03-05,1.243826
2025-03-06,1.234372
2025-03-07,1.234673
2025-03-10,1.240795
2025-03-11,1.228389
2025-03-12,1.242649
2025-03-13,1.233762
2025-03-14,1.239219
2025-03-17,1.232751
2025-03-18,1.233608
2025-03-19,1.232631
2025-03-20,1.230206
2025-03-21,1.235143
2025-03-24,1.225269
2025-03-25,1.229334
2025-03-26,1.232646
2025-03-27,1.234313
2025-03-28,1.234586
2025-03-31,1.222340
2025-04-01,1.231205
2025-04-02,1.226247
2025-04-03,1.219142
2025-04-04,1.205943
2025-04-07,1.213116
2025-04-08,1.213453
2025-04-09,1.210605
2025-04-10,1.202626
2025-04-11,1.197024
2025-04-14,1.187898
2025-04-15,1.188942
2025-04-16,1.185204
2025-04-17,1.181051
2025-04-18,1.180003
