date,mkt_rf,smb,hml,rf,portfolio_excess
2016-12-01,-0.0461277,-0.0087443,0.0020546,0.0016457,-0.0656043
2017-01-01,-0.0789897,-0.0011832,-0.0099070,0.0013167,-0.0614113
2017-02-01,0.0597573,-0.0243460,0.0560182,0.0022943,0.0475747
2017-03-01,0.0162763,0.0198832,-0.0237596,0.0012204,0.0089111
2017-04-01,-0.0039304,-0.0023436,0.0391015,0.0021010,-0.0181336
2017-05-01,0.0250846,0.0265213,-0.0060722,0.0018819,0.0504792
2017-06-01,0.0335332,0.0010405,0.0130106,0.0010142,0.0466664
2017-07-01,0.0052638,-0.0218711,0.0109714,0.0015937,-0.0494574
2017-08-01,0.0689851,-0.0258817,-0.0341739,0.0010771,0.0698390
2017-09-01,-0.0195859,0.0103472,0.0302130,0.0013106,-0.0578214
2017-10-01,-0.0595016,-0.0409581,-0.0225314,0.0014261,-0.0827154
2017-11-01,0.0374484,-0.0086480,0.0046970,0.0009361,0.0196557
2017-12-01,0.0445685,0.0115561,0.0026660,0.0015331,0.0358440
2018-01-01,-0.0211867,0.0169875,0.0226346,0.0009246,-0.0386175
2018-02-01,0.0114823,-0.0270857,0.0231048,0.0011012,0.0171891
2018-03-01,-0.0357233,0.0166123,-0.0064428,0.0016519,-0.0590367
2018-04-01,-0.0436039,0.0503256,-0.0141842,0.0024562,-0.0104649
2018-05-01,0.0491976,0.0004291,0.0095585,0.0018841,-0.0099767
2018-06-01,-0.0695010,0.0030371,0.0206237,0.0012700,-0.0657943
2018-07-01,0.0943966,-0.0368794,0.0280020,0.0012144,0.0897107
2018-08-01,0.0310079,-0.0107204,-0.0161038,0.0008495,-0.0052474
2018-09-01,0.0549499,-0.0103199,0.0039663,0.0012930,0.0453464
2018-10-01,0.0239282,0.0228546,0.0286921,0.0016017,0.0045121
2018-11-01,0.0065997,0.0108155,-0.0182249,0.0013086,-0.0014648
2018-12-01,0.0515932,0.0093524,0.0314169,0.0020944,0.0881830
2019-01-01,-0.0404264,-0.0278998,-0.0252726,0.0020588,-0.0684646
2019-02-01,0.0333702,-0.0021516,0.0110952,0.0019226,0.0822442
2019-03-01,0.0400390,-0.0201993,0.0226619,0.0011189,0.0490551
2019-04-01,0.0210358,0.0073609,0.0086604,0.0015942,-0.0031146
2019-05-01,-0.0143549,0.0125839,0.0233199,0.0012125,0.0005035
2019-06-01,0.0451962,-0.0280663,0.0225479,0.0015267,0.0215324
2019-07-01,0.0014720,0.0108973,0.0382312,0.0018713,-0.0177312
2019-08-01,0.0571519,-0.0058279,0.0298397,0.0013076,0.0643016
2019-09-01,-0.0186722,0.0339625,0.0282100,0.0005927,-0.0403583
2019-10-01,-0.0260733,0.0154334,0.0492702,0.0016010,-0.0296260
2019-11-01,0.0139123,-0.0181245,-0.0199559,0.0016462,0.0138519
2019-12-01,0.0076281,0.0044212,-0.0340949,0.0016692,0.0118304
2020-01-01,-0.0117134,0.0012625,0.0184659,0.0017460,-0.0284288
2020-02-01,0.0238665,-0.0073964,0.0508669,0.0007588,0.0082207
2020-03-01,0.0111562,-0.0204649,0.0364826,0.0014960,0.0021993
2020-04-01,0.0173946,0.0464960,-0.0001799,0.0015528,0.0013170
2020-05-01,-0.0080009,0.0207677,0.0043810,0.0005609,0.0204585
2020-06-01,0.0559621,0.0197926,-0.0294250,0.0018234,0.0590021
2020-07-01,0.0433801,0.0145573,0.0275261,0.0017625,0.0193910
2020-08-01,0.0677903,-0.0285243,-0.0396429,0.0013304,0.0530189
2020-09-01,-0.0098439,-0.0049993,-0.0311197,0.0006523,-0.0404695
2020-10-01,0.0057240,0.0105733,0.0396699,0.0019966,0.0067227
2020-11-01,-0.0621277,0.0318679,-0.0074737,0.0018242,0.0048241
2020-12-01,0.0009623,0.0298900,-0.0199325,0.0012139,0.0553973
2021-01-01,0.1061847,-0.0033041,0.0168966,0.0004980,0.1247941
2021-02-01,-0.0186683,0.0095467,-0.0281443,0.0008798,-0.0195985
2021-03-01,-0.0076728,-0.0004043,0.0630171,0.0017252,-0.0166060
2021-04-01,0.0671404,-0.0201148,0.0303230,0.0017060,0.0420056
2021-05-01,0.0103106,-0.0453837,-0.0285909,0.0012549,-0.0043269
2021-06-01,-0.0067707,-0.0154025,-0.0129467,0.0012437,0.0064985
2021-07-01,0.0063299,-0.0160609,-0.0192099,0.0016918,0.0122028
2021-08-01,-0.0994863,-0.0008087,0.0030777,0.0007804,-0.0924084
2021-09-01,0.0055911,0.0266389,0.0192825,0.0014930,0.0194551
2021-10-01,-0.0482439,0.0458234,-0.0286891,0.0012900,-0.0668468
2021-11-01,-0.0006256,0.0190748,0.0352072,0.0016914,0.0150654
2021-12-01,0.0976692,0.0199465,0.0176058,0.0011449,0.0820935
2022-01-01,0.0445715,-0.0065962,-0.0252564,0.0013136,0.0599186
2022-02-01,0.0619902,-0.0372318,-0.0164742,0.0018911,0.0472640
2022-03-01,-0.0659101,0.0114109,-0.0385164,0.0013734,-0.0245983
2022-04-01,0.0678649,-0.0181490,0.0142905,0.0017815,0.0849742
2022-05-01,-0.0290556,-0.0236256,0.0330564,0.0019638,-0.0616852
2022-06-01,0.0054921,0.0104605,0.0157550,0.0018327,-0.0247157
2022-07-01,0.0789884,-0.0198320,-0.0018363,0.0017884,0.0713213
2022-08-01,-0.0325836,-0.0064930,0.0163819,0.0020078,-0.0270112
2022-09-01,0.0348658,-0.0355249,-0.0022456,0.0013659,0.0501612
2022-10-01,-0.0470811,0.0389512,0.0021816,0.0008732,-0.0053933
2022-11-01,0.0299751,-0.0048813,-0.0016924,0.0016142,0.0303731
2022-12-01,-0.0170586,-0.0226017,-0.0164924,0.0007280,-0.0245214
2023-01-01,0.0305408,-0.0290993,0.0010695,0.0010353,-0.0111498
2023-02-01,0.0427843,-0.0280246,-0.0008423,0.0013760,0.0624170
2023-03-01,0.1463323,0.0232368,-0.0257651,0.0013031,0.1600462
2023-04-01,-0.0077293,-0.0169349,0.0510239,0.0015056,0.0153521
2023-05-01,-0.0663009,-0.0101454,-0.0152832,0.0013725,-0.0514701
2023-06-01,0.0316829,-0.0397696,-0.0166814,0.0011142,0.0128429
2023-07-01,-0.0295625,-0.0305039,0.0370679,0.0016922,-0.0613117
2023-08-01,-0.0416090,-0.0323295,0.0118240,0.0016625,-0.0331250
2023-09-01,0.0205761,0.0332104,-0.0162087,0.0013284,0.0208992
2023-10-01,-0.0481657,0.0130247,0.0536034,0.0006555,-0.0763090
2023-11-01,0.0168792,-0.0086806,-0.0145783,0.0006677,-0.0139525
2023-12-01,0.0147034,0.0080619,-0.0062928,0.0010493,0.0353255
2024-01-01,0.0232263,0.0208713,0.0517946,0.0014431,0.0449511
2024-02-01,-0.0648628,0.0044124,-0.0064771,0.0007769,-0.0276057
2024-03-01,-0.0291444,0.0369334,-0.0142346,0.0026359,-0.0331441
2024-04-01,0.0197610,0.0174439,0.0102106,0.0008686,0.0543299
2024-05-01,-0.0366569,-0.0350457,-0.0107094,0.0017246,-0.0001033
2024-06-01,-0.0475314,0.0163541,-0.0374391,0.0012653,-0.0115205
2024-07-01,-0.0129197,-0.0188096,0.0042145,0.0008268,-0.0482924
2024-08-01,-0.0160900,0.0120886,0.0194738,0.0011439,0.0038716
2024-09-01,0.0092086,-0.0228942,-0.0188604,0.0010203,-0.0215163
2024-10-01,0.0268069,0.0521945,0.0129116,0.0008684,0.0303496
2024-11-01,0.0285922,-0.0087219,0.0526436,0.0016449,0.0494471
2024-12-01,0.0337306,0.0264174,-0.0579660,0.0014909,0.0293915
